round,uniforme,cash,endowment,v,h,tau,pay_round,voting_stage,subperiods,players_per_group,cambio
1,FALSE,200,1,100,100,20,28,TRUE,8,11,24
2,FALSE,200,1,100,100,20,28,TRUE,8,11,24
3,FALSE,200,1,100,100,20,28,TRUE,8,11,24
4,FALSE,200,1,100,100,20,28,TRUE,8,11,24
5,FALSE,200,1,100,100,20,28,TRUE,8,11,24
6,FALSE,200,1,100,100,20,28,TRUE,8,11,24
7,FALSE,200,1,100,100,20,28,TRUE,8,11,24
8,FALSE,200,1,100,100,20,28,TRUE,8,11,24
9,TRUE,200,1,100,100,35,28,TRUE,8,11,24
10,FALSE,200,1,100,100,35,28,TRUE,8,11,24
11,FALSE,200,1,100,100,35,28,TRUE,8,11,24
12,FALSE,200,1,100,100,35,28,TRUE,8,11,24
13,FALSE,200,1,100,100,35,28,TRUE,8,11,24
14,FALSE,200,1,100,100,35,28,TRUE,8,11,24
15,FALSE,200,1,100,100,35,28,TRUE,8,11,24
16,FALSE,200,1,100,100,35,28,TRUE,8,11,24
17,FALSE,200,1,100,100,60,28,TRUE,8,11,24
18,FALSE,200,1,100,100,60,28,TRUE,8,11,24
19,FALSE,200,1,100,100,60,28,TRUE,8,11,24
20,FALSE,200,1,100,100,60,28,TRUE,8,11,24
21,FALSE,200,1,100,100,60,28,TRUE,8,11,24
22,FALSE,200,1,100,100,60,28,TRUE,8,11,24
23,FALSE,200,1,100,100,60,28,TRUE,8,11,24
24,FALSE,200,1,100,100,60,28,TRUE,8,11,24
25,FALSE,200,1,100,100,20,28,TRUE,8,11,24
26,FALSE,200,1,100,100,20,28,TRUE,8,11,24
27,FALSE,200,1,100,100,20,28,TRUE,8,11,24
28,FALSE,200,1,100,100,20,28,TRUE,8,11,24
29,FALSE,200,1,100,100,20,28,TRUE,8,11,24
30,FALSE,200,1,100,100,20,28,TRUE,8,11,24
31,FALSE,200,1,100,100,20,28,TRUE,8,11,24
32,FALSE,200,1,100,100,20,28,TRUE,8,11,24
33,FALSE,200,1,100,100,35,28,TRUE,8,11,24
34,FALSE,200,1,100,100,35,28,TRUE,8,11,24
35,FALSE,200,1,100,100,35,28,TRUE,8,11,24
36,FALSE,200,1,100,100,35,28,TRUE,8,11,24
37,FALSE,200,1,100,100,35,28,TRUE,8,11,24
38,FALSE,200,1,100,100,35,28,TRUE,8,11,24
39,FALSE,200,1,100,100,35,28,TRUE,8,11,24
40,FALSE,200,1,100,100,35,28,TRUE,8,11,24
41,FALSE,200,1,100,100,60,28,TRUE,8,11,24
42,FALSE,200,1,100,100,60,28,TRUE,8,11,24
43,FALSE,200,1,100,100,60,28,TRUE,8,11,24
44,FALSE,200,1,100,100,60,28,TRUE,8,11,24
45,FALSE,200,1,100,100,60,28,TRUE,8,11,24
46,FALSE,200,1,100,100,60,28,TRUE,8,11,24
47,FALSE,200,1,100,100,60,28,TRUE,8,11,24
48,FALSE,200,1,100,100,60,28,TRUE,8,11,24
