round,uniforme,cash,endowment,v,h,tau,pay_round,voting_stage,subperiods,players_per_group,cambio
1,TRUE,200,1,100,100,20,32,TRUE,8,11,24
2,TRUE,200,1,100,100,20,32,TRUE,8,11,24
3,TRUE,200,1,100,100,20,32,TRUE,8,11,24
4,TRUE,200,1,100,100,20,32,TRUE,8,11,24
5,TRUE,200,1,100,100,20,32,TRUE,8,11,24
6,TRUE,200,1,100,100,20,32,TRUE,8,11,24
7,TRUE,200,1,100,100,20,32,TRUE,8,11,24
8,TRUE,200,1,100,100,20,32,TRUE,8,11,24
9,TRUE,200,1,100,100,35,32,TRUE,8,11,24
10,TRUE,200,1,100,100,35,32,TRUE,8,11,24
11,TRUE,200,1,100,100,35,32,TRUE,8,11,24
12,TRUE,200,1,100,100,35,32,TRUE,8,11,24
13,TRUE,200,1,100,100,35,32,TRUE,8,11,24
14,TRUE,200,1,100,100,35,32,TRUE,8,11,24
15,TRUE,200,1,100,100,35,32,TRUE,8,11,24
16,TRUE,200,1,100,100,35,32,TRUE,8,11,24
17,TRUE,200,1,100,100,60,32,TRUE,8,11,24
18,TRUE,200,1,100,100,60,32,TRUE,8,11,24
19,TRUE,200,1,100,100,60,32,TRUE,8,11,24
20,TRUE,200,1,100,100,60,32,TRUE,8,11,24
21,TRUE,200,1,100,100,60,32,TRUE,8,11,24
22,TRUE,200,1,100,100,60,32,TRUE,8,11,24
23,TRUE,200,1,100,100,60,32,TRUE,8,11,24
24,TRUE,200,1,100,100,60,32,TRUE,8,11,24
25,TRUE,200,1,100,100,20,32,TRUE,8,11,24
26,TRUE,200,1,100,100,20,32,TRUE,8,11,24
27,TRUE,200,1,100,100,20,32,TRUE,8,11,24
28,TRUE,200,1,100,100,20,32,TRUE,8,11,24
29,TRUE,200,1,100,100,20,32,TRUE,8,11,24
30,TRUE,200,1,100,100,20,32,TRUE,8,11,24
31,TRUE,200,1,100,100,20,32,TRUE,8,11,24
32,TRUE,200,1,100,100,20,32,TRUE,8,11,24
33,TRUE,200,1,100,100,35,32,TRUE,8,11,24
34,TRUE,200,1,100,100,35,32,TRUE,8,11,24
35,TRUE,200,1,100,100,35,32,TRUE,8,11,24
36,TRUE,200,1,100,100,35,32,TRUE,8,11,24
37,TRUE,200,1,100,100,35,32,TRUE,8,11,24
38,TRUE,200,1,100,100,35,32,TRUE,8,11,24
39,TRUE,200,1,100,100,35,32,TRUE,8,11,24
40,TRUE,200,1,100,100,35,32,TRUE,8,11,24
41,TRUE,200,1,100,100,60,32,TRUE,8,11,24
42,TRUE,200,1,100,100,60,32,TRUE,8,11,24
43,TRUE,200,1,100,100,60,32,TRUE,8,11,24
44,TRUE,200,1,100,100,60,32,TRUE,8,11,24
45,TRUE,200,1,100,100,60,32,TRUE,8,11,24
46,TRUE,200,1,100,100,60,32,TRUE,8,11,24
47,TRUE,200,1,100,100,60,32,TRUE,8,11,24
48,TRUE,200,1,100,100,60,32,TRUE,8,11,24



